acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.176849,-0.035724,0.078853,-0.019943,-0.000646,-0.090379,-0.067807,0.008686,-0.033322
0.126524,0.043211,0.078776,-0.014948,-0.000519,-0.087773,-0.068358,0.008671,-0.036223
0.105032,0.048007,0.112239,-0.011138,0.000989,-0.084618,-0.068764,0.008684,-0.039029
0.119337,-0.090864,0.095395,-0.007448,0.000285,-0.08119,-0.069047,0.00871,-0.041727
0.11452,0.038378,0.090515,-0.003602,-0.000578,-0.078123,-0.069206,0.00871,-0.044318
0.193455,-0.074114,0.109565,0.001466,-0.001165,-0.074823,-0.069218,0.008687,-0.046804
0.169519,-0.069319,0.109493,0.007442,-0.003529,-0.071213,-0.069048,0.008615,-0.049176
0.119304,0.014419,0.119033,0.012193,-0.004432,-0.067447,-0.068701,0.008489,-0.051427
0.188732,-0.08611,0.107,0.017262,-0.005613,-0.063724,-0.068193,0.008329,-0.053555
0.131264,0.069413,0.140471,0.022527,-0.005886,-0.059649,-0.067515,0.008145,-0.055555
0.128911,0.031155,0.130794,0.026805,-0.004225,-0.055183,-0.06668,0.007984,-0.057414
0.164806,-0.040641,0.12357,0.031637,-0.00438,-0.050997,-0.065695,0.007848,-0.059131
0.138431,0.019167,0.130666,0.036625,-0.004732,-0.046815,-0.064549,0.007703,-0.060711
0.112156,-0.007225,0.116287,0.040745,-0.004534,-0.042754,-0.063252,0.007556,-0.062155
0.16718,-0.059801,0.120935,0.045339,-0.005639,-0.038855,-0.061813,0.007394,-0.063469
0.119334,0.023935,0.14961,0.050052,-0.00623,-0.034407,-0.06022,0.007204,-0.064645
0.155238,-0.031192,0.132785,0.054568,-0.006349,-0.029765,-0.058475,0.007003,-0.065672
0.131324,-0.033559,0.123219,0.059282,-0.007417,-0.025559,-0.056578,0.006782,-0.066554
0.136145,-0.026413,0.147095,0.063681,-0.008406,-0.021118,-0.054532,0.006527,-0.067294
0.124198,-0.016816,0.144594,0.067963,-0.009119,-0.016325,-0.052342,0.006244,-0.067883
0.138535,-0.023989,0.139839,0.072285,-0.009793,-0.011653,-0.050011,0.005938,-0.068316
0.114627,-0.024003,0.142147,0.076449,-0.010586,-0.007022,-0.04754,0.005608,-0.068596
0.102685,0.014228,0.115822,0.080023,-0.010748,-0.002788,-0.044942,0.005262,-0.068731
0.100354,-0.002556,0.118134,0.083361,-0.010556,0.001049,-0.04223,0.004916,-0.068734
0.097927,-0.021693,0.137218,0.086621,-0.010958,0.005239,-0.03941,0.004567,-0.068605
0.081281,0.00222,0.156304,0.089567,-0.011281,0.010058,-0.036487,0.004207,-0.068328
0.062087,0.002205,0.137146,0.091923,-0.01121,0.014876,-0.033477,0.003841,-0.067893
0.078884,-0.04802,0.137114,0.094239,-0.011968,0.019376,-0.03039,0.003465,-0.067305
0.035862,0.009334,0.149047,0.096124,-0.012609,0.024073,-0.027234,0.003065,-0.066566
0.071783,-0.045696,0.137055,0.097892,-0.013212,0.028768,-0.024018,0.002645,-0.065673
0.076619,-0.031394,0.168116,0.100333,-0.014487,0.033778,-0.020732,0.002194,-0.06462
0.007219,0.040376,0.14181,0.10171,-0.014342,0.038867,-0.017384,0.001724,-0.063402
0.047948,0.014079,0.144142,0.102614,-0.013447,0.04356,-0.013998,0.00127,-0.062024
0.03837,-0.057721,0.127451,0.104033,-0.014171,0.048016,-0.010574,0.00082,-0.060495
-0.023772,0.061905,0.134592,0.10427,-0.014106,0.052314,-0.007122,0.000359,-0.058822
